artist_name,artist_id,artist_popularity,artist_n_followers,genre
Gryffin,2ZRQcIgzPCVaT9XKhXZIzh,68,945581,pop dance
Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,77,5359465,rap
Gunna,2hlmm7s2ICUX0LVIhVFlZQ,84,6982439,rap
Guns N' Roses,3qm84nBOXUEQ2vnTfUTTFC,79,30365232,rock
Gwen Stefani,4yiQZ8tQPux8cPriYMWUFP,73,6409244,pop
Gym Class Heroes,4IJczjB0fJ04gs4uvP0Fli,69,1451874,dance pop
H.E.R.,3Y7RZ31TRPVadSFVy1o8os,75,7424546,rap
HARDY,5QNm7E7RU2m64l6Gliu8Oy,74,847903,contemporary country
HIXTAPE,4Y8LpEiP4uKTP02lSYEWJV,65,78154,modern country pop
Hades66,4CQdcx66F116k2db2Y0rjE,73,422209,urbano latino
Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,68,8780109,pop
Halsey,26VFTg2z8YR0cCuwLzESi2,81,21371930,pop
